RTT	Window	ACK
535	18.691588785	0	
2760	119.565217391	2
2716	67.8917302629	3
2559	75.9648063282	4
2414	84.6702317291	5
2390	89.7045771523	6
2301	97.5201822659	7
2201	106.494293228	8
2192	111.49358549	9
2139	118.931247964	10
2092	126.38333623	11
2117	129.614520262	12
2227	127.702711897	13
2326	126.566611949	14
2430	125.264995635	15
2531	124.217281467	16
2644	122.69059735	17
2729	122.483872726	18
2831	121.452461301	19
2937	120.237926783	20
3024	119.77525925	21
3118	118.997842352	22
3162	120.069509618	23
3252	119.338372722	24
3347	118.414679534	25
3450	117.219690427	26
3560	115.820430966	27
3640	115.407055708	28
3673	116.444118952	29
3766	115.555268686	30
3845	115.093472478	31
3876	116.038564996	32
3963	115.286474135	33
3995	116.116225221	33
3957	118.974625044	33
3895	122.613551736	33
3840	126.114644567	33
3860	127.173051687	34
3879	128.230672433	35
3919	128.563445945	36
3946	67.0609513185	37
3875	69.45612715	37
3837	71.2803213431	38
3813	72.8333273625	39
3787	74.4084234649	40
3704	77.1395413504	41
3718	77.8756690008	42
3640	80.5610948611	42
3608	82.270851766	43
3609	83.2142299624	44
3578	84.8822078561	45
3500	87.7152390967	46
3527	87.9526830724	47
3452	90.7676967172	47
3422	92.4518336129	48
3418	93.4268580598	49
3385	95.1911215979	50
3316	98.0217618931	51
3303	99.2402638528	51
3272	101.001218883	52
3201	104.060898007	53
3164	106.087817607	54
3148	107.422817407	55
3113	109.417476526	56
3088	111.079211579	56
3114	110.904606285	57
3094	112.363098912	58
3122	112.074877906	59
3168	111.141915455	60
4829	73.3593756055	60
4860	73.3258724686	61
4862	73.7212924395	62
4964	72.6150882485	63
4983	72.7373314245	64
4983	73.1287573876	64
5016	73.0290811022	65
5008	73.5205741295	66
5097	72.5982219983	67
5102	72.8814540169	68
5130	72.8296522105	69
5139	73.0412273987	69
5136	73.4171171098	70
5171	73.2452712154	71
5241	72.5820701612	71
5286	72.2711101899	72
5293	72.4767469605	73
5292	72.7865360211	74
5327	72.597439744	75
5328	72.8680042706	75
5262	74.0648966749	75
5261	74.3572436627	75
5265	74.5742148598	75
5223	75.4450333035	75
5190	76.1931633318	75
5155	76.9763538481	75
5111	77.9028930883	75
5106	78.2390846595	76
5192	77.1946894757	76
5220	77.0268850225	77
5233	77.0773468638	78
5243	77.1679412499	78
5282	76.8303757602	79
5292	76.9134079246	80
3619	112.797746739	81
3614	113.27789273	81
3700	110.956731666	82
3766	109.313918903	83
3774	109.378800352	84
3784	109.381176696	84
3792	109.436944256	85
3813	109.114995226	86
3834	108.792498772	87
3886	54.2034272979	88
3826	57.6671506742	88
3763	61.2900660323	89
3772	63.7949412724	90
3714	67.483715261	90
3660	71.2116170709	91
3669	73.7624743744	92
3655	76.7809900081	93
3613	80.441328115	93
3642	82.5465454364	94
3594	86.4314186087	95
3543	90.498029489	95
3553	93.0522738579	96
3631	93.7189943922	97
3644	95.9652335685	97
3746	95.7950032262	98
3775	97.4213257466	99
3804	98.966009833	99
3828	100.566036876	100
3840	102.416456906	100
3850	104.263872126	101
3814	107.33814615	101
3840	108.646937766	102
3916	108.497023804	103
3919	110.335795808	104
3898	112.828742023	105
3932	113.703551496	105
3969	114.446934322	106
4010	115.033570626	107
4009	116.792658252	108
4050	117.297811168	108
4093	117.711258557	109
4112	118.782599495	110
4131	119.822221963	111
4141	121.094043342	112
4119	123.290099934	112
4138	124.246790501	113
4171	124.756002605	114
4143	127.083492077	115
4170	127.71815364	115
4089	131.717567776	115
4047	134.552641399	115
3977	138.39857136	115
3888	143.061973854	115
3921	143.325177856	116
3954	143.569093381	117
3974	144.265035558	118
3971	145.77962254	118
4040	144.65809237	119
4034	146.230594845	120
4111	144.811218926	121
4174	143.913318427	122
4242	142.862178451	123
4320	141.505023823	123
4365	141.245460242	124
4445	139.871027958	125
4495	139.460216944	126
4550	138.896345471	127
4593	138.698418531	128
4645	138.227137628	128
4647	139.240149114	129
4731	137.813253597	130
4736	138.70407931	131
4781	70.7370745546	132
4736	72.4041117778	133
4725	73.5416593431	134
4732	74.3737534159	134
4690	75.9635999521	135
4675	77.1098329899	136
4626	78.8153377879	137
4663	79.0496023463	138
4617	80.6841829608	138
4603	81.7588332608	139
4605	82.5327944204	140
4556	84.2198261567	141
4541	85.2819886485	142
4545	85.9728942394	142
4532	86.9709919466	143
4482	88.6848808048	144
4426	90.5442519533	145
4463	90.5097012399	146
4415	92.2029194475	146
4399	93.2358355125	147
4399	93.9196693619	148
4344	95.7878689288	149
4331	96.7434820217	150
4334	97.3315706737	150
4329	98.087612934	151
4277	99.9196713206	152
4219	101.929861504	153
4255	101.687365347	154
4206	103.48807266	154
4152	105.447191511	155
4193	105.012822619	156
4278	103.501206759	156
4382	101.596560202	157
4422	101.215242514	158
4423	101.721068298	158
4538	99.6502038259	159
4566	99.5347851678	160
4579	99.7385594672	161
4627	99.1775787994	162
4707	97.9503081884	162
4718	98.1721177822	163
4766	97.6221852688	164
4780	97.767101337	165
4786	98.0683335724	166
4875	96.6877891346	167
4887	96.8531281796	167
4930	96.401729385	168
4898	97.4217024772	169
4872	98.3281598082	170
4940	97.3504109945	171
4935	97.8198180594	171
4933	98.225154367	172
4959	98.0688124744	173
4947	98.6612099196	174
4941	99.1310467867	174
5025	97.8133805292	175
5027	98.1091507234	176
5032	98.3414880645	177
5076	97.81160356	178
5085	97.9561736065	178
5087	98.2310066722	179
5177	96.8271363807	180
5186	96.9584291922	181
5189	97.1976323279	181
5117	98.8608113761	181
5007	101.330849138	181
4942	102.961806566	181
4984	102.386072528	181
4924	103.925409969	181
4884	105.066990818	181
4832	106.487563207	181
4730	109.076364352	181
4671	110.746603866	181
4668	111.106845937	182
4617	112.622830359	183
4615	112.95692868	183
4613	113.287858294	184
4617	113.468025419	185
4659	112.717630508	186
4640	113.449536826	186
4619	114.233677663	187
4611	114.697507261	188
4653	113.922337903	188
4689	113.302812774	189
4670	114.016956773	190
4661	114.487826578	191
4654	114.908212914	192
4649	115.277391259	192
4643	115.669454275	193
4706	114.3580706	194
4710	114.495160124	195
4753	113.688795225	195
4749	114.011621436	196
4744	114.356541089	197
4752	114.385889962	197
4795	57.1149164565	198
4748	59.7864415352	199
4690	62.6580009401	200
4687	64.8316672518	200
4631	67.7749998724	201
4576	70.7749179216	202
4520	73.8377551565	202
4562	75.2597028571	203
4515	78.1074449466	204
4457	81.159779042	205
4454	83.2006137117	205
4395	86.2823094601	206
4335	89.4231440401	207
4274	92.6308406123	207
4312	93.6890018489	208
4263	96.6239792184	209
4204	99.8279609947	210
4238	100.826253926	210
4479	97.0731231662	211
4621	95.6828359151	211
4672	96.1874446386	212
4805	95.0069804044	213
4847	95.629929298	213
4875	96.4968177621	214
4872	97.9524609469	214
4947	97.8228887722	215
4995	98.2066786133	215
5008	99.2543433427	216
5057	99.5656578117	217
5053	100.902235978	218
5164	99.9487303287	219
5269	99.1336437287	219
5270	100.277325118	220
5342	100.059306763	221
5402	100.056188823	221
5402	101.15215427	222
5451	101.317225496	223
5452	102.361400679	224
5539	101.788835429	225
5547	102.66523289	225
5592	102.843914208	226
5637	103.010003068	227
5638	103.969188978	227
5683	104.106524267	228
5685	105.021300943	229
5714	105.426289119	229
5717	106.300131141	230
5805	105.595771094	231
5869	105.333757116	232
5934	105.052259331	232
5942	105.774724254	233
6008	105.460184844	234
6017	106.141807779	234
6025	106.83249549	234
5935	109.290195364	234
5916	110.475106332	234
5820	113.138644186	234
5796	114.445597414	234
5755	116.099192282	235
5822	115.585741873	236
5651	119.924870097	237
5717	119.366333044	238
5648	121.654840426	239
5642	122.609668475	239
5663	122.971853482	240
5703	122.915085948	241
5734	123.046693729	242
5780	122.852112852	243
5827	122.634582749	244
5833	123.276152113	244
5863	123.404398627	245
5892	123.547659704	246
5950	123.082144656	247
5992	122.948652073	248
6055	122.38678266	249
6054	123.120276624	249
6084	123.218823739	250
6124	123.111023264	251
6173	122.821370745	252
6217	62.3338377038	253
6139	63.9048127314	253
6110	64.9712896138	254
6060	66.2580876527	255
5998	67.6834351176	256
5980	68.6125735853	257
5954	69.6241871769	258
5937	70.5216688813	259
5880	71.8947889	259
5874	72.6436392315	260
5862	73.4549197602	261
5808	74.7928043314	262
5808	75.4344667544	262
5795	76.2339821159	263
5741	77.5748008636	264
5686	78.9428314111	265
5733	78.8966244582	266
5683	80.1857162635	266
5667	80.9977622718	267
5665	81.6015997321	268
5610	82.9721189046	269
5594	83.7714919709	270
5593	84.3388562331	270
5538	85.7247628594	271
5522	86.5137356178	272
5463	87.985367765	273
5454	88.6598502104	273
5438	89.4429015607	274
5340	91.6075663369	275
5264	93.4524688513	276
5292	93.4693644915	277
5235	94.9959501891	277
5170	96.6976147051	278
5202	96.5992970734	279
5130	98.4509635682	280
5059	100.327998621	280
5129	99.4400836619	281
5102	100.443135921	282
5085	101.250400451	282
5115	101.118523468	283
5111	101.653408449	284
5159	101.152749324	284
5206	100.674488629	285
5211	101.006401297	286
5204	101.565457587	287
5306	100.022411573	288
5332	99.9365779517	289
5338	100.220312109	289
5381	99.8071183033	290
5389	100.040945838	291
7742	69.8982509167	292
7843	69.253788338	293
7871	69.2589002401	293
7878	69.4453927766	294
7946	69.0938796564	295
8005	68.822583797	296
8012	68.9972198611	296
8057	68.842404753	297
8034	69.2678390916	298
8034	69.4933846701	299
8109	69.0713746076	299
8156	68.8901424991	300
8164	69.0366153629	301
8176	69.1463969317	302
8227	68.9250540849	303
8218	69.2056133913	303
8289	68.8137569429	304
8334	68.6397011259	305
8318	68.9673218666	306
8322	69.1274097127	306
8313	69.3934742905	307
8348	69.2907811618	308
8346	69.4935390902	309
8340	69.7277167905	309
8264	70.5527558181	309
8189	71.3823188279	309
8111	72.2518726498	309
8032	73.1453728364	309
7918	74.3819347237	309
7903	74.7048930785	309
7849	75.3998877006	309
7753	76.5148007721	309
7654	77.6861256068	309
7588	78.5430967393	309
7522	79.4131504335	309
7558	79.2130097864	310
7626	78.6813360044	311
7638	78.7302635577	312
7645	78.8287497225	312
7644	79.0078740415	313
7644	79.1749275731	314
7684	78.9272331631	315
7673	79.2033782366	315
7658	79.520151392	316
7718	79.060694274	317
7730	79.0948329723	317
7772	78.8218422033	318
7753	79.1682584591	319
8250	74.541536887	320
8288	74.3402556002	320
8305	74.3268811773	321
8315	74.3747406431	322
8366	74.0564016183	323
6144	101.021250703	323
6101	101.914808113	324
6115	101.860841159	325
6122	101.921775155	325
6100	102.465668526	326
6163	101.591042481	327
6180	101.482248367	328
6205	50.8733574841	328
6147	52.9801827215	329
6099	55.0082153163	330
6033	57.190990776	330
6072	58.3510731057	331
6005	60.5061470578	332
5939	62.6614927023	333
5944	64.0554116631	334
5875	66.2382866496	334
5814	68.3476067591	335
5830	69.5413161792	336
5816	71.0658198355	337
5754	73.1770969274	337
5769	74.3041886617	338
5721	76.2324721571	339
5655	78.4196821895	339
5662	79.5971798733	340
5616	81.5134662003	341
5568	83.471603667	341
5613	84.0290427286	342
5552	86.1742861505	343
5554	87.3475055394	343
5630	87.3400075374	344
5644	88.2763917324	344
5713	88.3344418385	345
5791	88.2396194142	345
5839	88.5867306778	346
5891	88.854929427	347
5904	89.6947394358	347
5981	89.5503293551	348
6050	89.5165490892	348
6062	90.3140568953	349
6122	90.3836547804	349
6129	91.2240031261	350
6233	90.620131134	351
6304	90.4981989022	352
6312	91.2721410553	352
6371	91.2987366992	353
6387	91.9313773318	354
6467	91.6368666427	355
6485	92.2151745228	355
6541	92.2437608142	356
6550	92.9267199803	357
6639	92.4728694308	358
6625	93.4550525309	359
6664	93.6837012013	359
6665	94.4386884374	360
6714	94.5066714519	361
6190	103.321646514	361
6191	104.113135847	362
6171	105.255066762	363
6201	105.540342478	364
6190	106.517806679	364
6266	106.000402663	365
6233	107.334567584	366
6264	107.566970208	367
6227	108.968795348	368
6258	109.18258807	368
6250	110.071685409	369
6252	110.780477917	370
6224	112.02117969	370
6116	114.74975141	370
6024	117.259150341	370
5977	118.939155262	370
5856	122.165415228	370
5760	124.978071087	370
5717	126.69562948	370
5670	128.525018904	371
5708	128.438685528	371
5733	128.639957338	372
5783	128.278039147	373
5789	128.8902308	374
5892	127.364944604	375
5879	128.371908705	375
5905	128.524734188	376
5945	128.369212868	377
5937	129.248457136	378
6017	128.223084017	379
6000	129.277660377	380
5986	130.269203051	380
6064	129.270301908	381
6039	130.481419037	382
6113	129.566222855	383
6107	130.355089057	384
6145	130.203129831	384
6184	130.028742191	385
6185	130.651149137	386
6221	130.531646732	387
6261	130.327117016	388
6245	131.288991772	389
6345	129.834936135	390
6401	129.305904571	390
6452	128.883027048	391
6501	128.503539534	392
6496	129.192118833	393
6497	65.7598925527	394
6489	66.5839925674	395
6411	68.1290645709	395
6403	68.9337133768	396
6393	69.7465073763	397
6339	71.0364703325	398
6339	71.7177424282	399
6330	72.4879672286	400
6280	73.7251282161	400
6281	74.3602781505	401
6273	75.0902543651	402
6222	76.333884872	403
6225	76.9131555557	403
6214	77.6550673998	404
6164	78.8845583772	405
6109	80.1889264869	406
6155	80.1689591815	407
6109	81.3461836343	407
6055	82.6404241036	408
6129	82.1950700742	409
6086	83.3228788548	410
6034	84.5836607096	410
6122	83.8940677619	411
6081	84.9810203193	412
6028	86.245780878	413
6090	85.872055785	414
6046	86.9971338652	414
6005	88.0869932335	415
6055	87.8439649646	416
6008	89.0120307367	417
5955	90.2822391638	417
5998	90.102641747	418
5952	91.2634489192	419
5897	92.5767232261	420
5944	92.296646758	421
5901	93.4180584447	421
5849	94.6951456622	422
5919	94.0104670953	423
5882	95.0338200553	423
5832	96.2783994631	424
5853	96.3555116146	424
5906	95.9040333537	425
5919	96.1002829853	426
5994	95.2943881011	427
6053	94.7531555816	428
6068	94.9006404724	429
6071	95.2304223982	430
6180	93.9161617976	431
6181	94.2617099332	431
6173	94.7405977339	432
6207	94.5720432501	433
6204	94.9640636189	434
6254	94.5441896645	434
6252	94.9098063224	435
6298	94.5455349494	436
6303	94.7953110395	437
6307	95.0559327771	437
6394	94.0752257546	438
6399	94.3105103962	439
6400	94.6009496578	440
6406	94.8137323395	440
6460	94.3166300421	441
6506	93.9398168702	442
6502	94.2845590753	443
6543	93.9757087023	444
6564	93.9529835555	444
6565	94.2134834135	445
6649	93.291593653	446
6652	93.5148194095	447
6649	93.8195457528	447
6645	94.1358712898	448
6697	93.6599972383	449
6698	93.898308499	450
6737	93.6029039927	450
6732	93.9181475229	451
6771	93.6189284193	452
6690	94.994532507	453
6665	95.5913293134	453
6691	95.456940174	454
6723	95.2360861494	455
6710	95.6521489961	456
6696	96.081805155	456
6606	97.6212514837	456
6517	99.1856393926	456
6432	100.728306639	456
6345	102.342187331	456
6265	103.882387911	456
6180	105.545408736	456
6062	107.83632201	456
5924	110.587920025	456
5807	113.058031373	456
5717	115.081236551	456
5631	117.083529251	456
5585	118.29220184	456
5465	121.13694333	456
5437	122.006966589	457
5425	122.521211038	458
5413	123.035404746	459
5446	122.528695364	460
5419	123.376937323	460
5398	124.093340894	461
5426	123.68597996	462
5416	124.145605536	462
5448	123.644167587	463
5427	124.349134803	464
5414	124.872688669	465
5406	125.280709601	465
5395	125.757782444	466
5394	126.000748455	467
5480	124.237601524	468
5480	124.449895797	468
5473	124.819712722	469
5466	125.188577199	470
5502	124.575242227	470
5522	124.327249694	471
5583	123.168038114	472
5591	123.188938673	473
5594	123.318160557	474
5680	121.641650741	474
5708	121.232976453	475
5711	121.355570595	476
5764	120.422656123	477
5775	120.374288808	478
5797	60.3162383863	478
5755	62.3466826118	479
5686	64.6717635992	480
5628	66.8844767177	480
5675	67.8285190365	481
5627	69.88450568	482
5572	72.0347514845	483
5577	73.3997090075	483
5522	75.5464406077	484
5458	77.8377108408	485
5406	79.9797455901	485
5446	80.7512971999	486
5401	82.7713515233	487
5348	84.9300928386	488
5350	86.2152141653	489
5301	88.3208911842	489
5249	90.4979786881	490
5253	91.7114779034	491
5246	93.1000189719	492
5196	95.2568648699	493
5198	96.4640070006	493
5153	98.5448835686	494
5100	100.804599305	494
5048	103.076046861	495
5047	104.315009484	495
5132	103.771625348	496
5191	103.749708969	497
5270	103.321908467	497
5349	102.894623155	498
5361	103.748828341	498
5426	103.566314239	499
5449	104.174209863	499
5539	103.499294641	500
5558	104.149780922	500
5667	103.122030444	501
5694	103.594716884	502
5777	103.04539684	502
5849	102.695975275	503
5856	103.482949933	504
5932	103.047322381	504
5941	103.772371887	505
6019	103.289941062	506
6030	103.9551102	506
6149	102.773493188	507
6163	103.361653031	508
6238	102.924218436	509
6249	103.540626957	509
6322	103.127347048	510
6331	103.75600713	511
6408	103.269475701	511
6415	103.910593525	512
6481	103.593123752	513
6528	103.577403085	514
6605	103.086440876	514
6613	103.672418151	515
6686	103.238594549	516
6697	103.761269646	517
6665	104.9503786	517
6697	105.132000453	518
6700	105.763285981	519
6761	105.476981761	519
6757	106.203512634	520
6856	105.320352567	521
6857	105.951290886	522
6901	105.914017253	522
6890	106.718537199	523
6963	106.224722304	524
7005	106.205446744	524
6871	108.902693645	524
6870	109.54103885	524
6776	111.688188218	524
6770	112.411742666	524
6718	113.90776114	524
6655	115.614436639	524
6629	116.695291107	524
6659	116.790769384	525
6789	115.160462367	526
6778	115.951220098	527
6805	116.089499587	528
6945	114.332575057	529
